text_clean,sentimiento_real,pred_SVM,pred_Gemini
el mensaje un mensaje de que debido al cambio positivo que has hecho en tu vida has atraído el flujo de abundancia positiva a tu vidatus acciones positivas y tu renovado sentido del yo han asegurado que las energías positivas la abundancia y la prosperidad llenen tu vida,POSITIVO,POSITIVO,POSITIVO
tengo semanas con una alergia se me habia calmado todo decido volver a usar mi bubba y vuelve la alergia que me esta ocasionando la alergia el bubba,NEUTRO,NEGATIVO,NEGATIVO
óyeme pero será que vinieron los marcianos de space jam y le robaron el talento a seryi abatido,NEGATIVO,NEGATIVO,NEGATIVO
bueno y hoy que sale we,NEUTRO,NEUTRO,NEUTRO
increíblejuan manuel santossalvó de un juicio internacional por genocidios en colombiaque le tenían preparado en la corte penal internacionala álvaro uribe vélezsegún sus propias declaraciones en un medio de comunicación muy reconocido,NEUTRO,NEUTRO,NEUTRO
intolerose a lactante,POSITIVO,POSITIVO,NEUTRO
te amo tanto que siento que quiero explotar,NEUTRO,NEUTRO,POSITIVO
mañana tengo examen manifiesto prosperidad manifiesto amor manifiesto todo lo bueno que hay en mi entra en crisis,POSITIVO,NEGATIVO,NEGATIVO
mis panas dándome el honor de inquebrantable después de tenerme secuestrada en una partida donde me fue horriblemente mal que me moría de básico y que por llamada les suplicaba para rendirnos bien bonitos,NEUTRO,NEUTRO,NEGATIVO
si no te gusta el reggaeton posiblemente seas un gordito compu amargado de la vida y con contacto femenino,NEGATIVO,NEGATIVO,NEGATIVO
si yo de mal humor soy infumable mi viejo es totalmente detestable que irritable dios,NEGATIVO,NEGATIVO,NEGATIVO
presta atención a las señaléticas que vayas viendo en ruta éstas están pensadas para garantizar tu seguridad y la de los demás conductores rutasur nolollamesaccidente,POSITIVO,POSITIVO,NEUTRO
vivir atrapado en el,NEGATIVO,POSITIVO,NEGATIVO
es triste que no suene ni un nombre esperanzadorno vengan con el cuento ese de que no lo dicen para que otro no te lo robe lo de meza corre porque el jugador ya conocía al dt y estudiantes juega x más están esperando a mañana a ver qué sale en el amistoso aaaj,POSITIVO,NEGATIVO,NEGATIVO
es la travesura de la entidad dice el guero,POSITIVO,POSITIVO,NEUTRO
mis condolencias para la familia y amigos de carlos bremer fue un gran impulsor y apasionado del deporte mexicano agradezco sinceramente cada atención que tuvo hacia mí recordaré con mucho cariño su legado,NEUTRO,NEUTRO,POSITIVO
como cuando me gustó una vegana y lo más audaz que pude hacer fue meterla a mi cf y subir un video pescando,POSITIVO,POSITIVO,NEUTRO
es bastante divertido ver los shows de cmll me gusta su estilo de lucha no hay luchas malas y el público grita como loco,POSITIVO,POSITIVO,POSITIVO
m duele pensar q t podes poner indiferente y arruinar mi poca felicidad,NEGATIVO,POSITIVO,NEGATIVO
que molesto tener que andar controlando todo lo que decís porque a la mínima se ofenden,NEGATIVO,NEGATIVO,NEGATIVO
defender la unidad de españa no implica ser nacionalista español y mucho menos facha un nacionalista va a apelar a emociones a excepcionalidades y a esencias que hacen de filtro para ser o no de esa nación un jacobino defiende el estado y el único filtro es ser ciudadano,POSITIVO,POSITIVO,NEUTRO
aún no supero q comí arroz blanco sin darme cuenta x estar somnoliento,NEGATIVO,NEGATIVO,NEGATIVO
q atrevido ñengo,POSITIVO,POSITIVO,NEUTRO
