id,tweet_original,sentimiento_real,pred_ml_tradicional,correcto_ml
1,oswer díaz mireles de nuestros buenos fotógrafos era un apasionado y tuve la dicha de conocerlo y compartir con él la última vez que lo vi fue en una rueda de prensa de cúsica fest y nada muchas anécdotas lo recordaré como un gran profesional y amigo descansa chino,NEUTRO,POSITIVO,False
2,vamos a jugar a corazonesbueno son muchos que sean,NEGATIVO,NEGATIVO,True
3,los valientes fueron antes cobardes si eres un pequeño cobarde puedes ser un gran valiente,POSITIVO,NEGATIVO,False
4,un lindo y sosegado pajarito se posaría en la ventana de una gigantesca casa sp observa al pajarito y se acercaría con cuidado para no asustarlo que linda ave espero y me visite más a menudo night que bonito c lo come sp compas,NEUTRO,NEUTRO,True
5,les deseo lo mejor a los dos por separado que sean muy felices con quienes quieran me voy,NEGATIVO,NEGATIVO,True
6,no puedo creer que en serio haya gente latina diciendo que lo que hicieron los españoles con su conquista de mrd fue bueno y que sin ellos no hubiéramos evolucionado que tan pdj deber ser para decir algo así xd,POSITIVO,POSITIVO,True
7,alchile si acabé bien confundido viendo el niño y la garza,NEGATIVO,POSITIVO,False
8,el cigarrito de es relativamente tarde y ha salido a que le de el aire y fumarse que ya va siendo hora de unirse al equipo cenó bien pero se ha retirado que ahora poco tenía que aportar llegó tarde pero llegó ah el vino lo pondrá en la misma mesa mañana,NEGATIVO,NEGATIVO,True
9,el dia mas caloroso del año en cali siempre es el ero de enero ahss,NEUTRO,NEUTRO,True
10,que deseo para un país próspero q le de oportunidades a mis hijos donde puedan vivir trabajar y soñar con una venezuela hermosa,POSITIVO,NEUTRO,False
11,tenemos muchos mensajes represados y un inconveniente para responder lo más pronto posible estaremos respondiéndole a todos les pedimos excusas,NEUTRO,NEUTRO,True
12,es tan irónica la vida mi trabajo radica en subir fotos y videos y hacer interesante y relevante la vida de otras personas mientras guardo un completo silencio sobre la mía,NEUTRO,NEUTRO,True
13,problema resuelto así resuelvo todo últimamente,POSITIVO,NEUTRO,False
14,yo soy de esos que no me quejo por nada con quejas no soluciono nada vivo y dejo vivir disfruto con la envidia de los demás yo tengo a la vecibicha y a la vecimasquebicha y tú envidioso que tienes además de la amargura,NEGATIVO,NEGATIVO,True
15,me párese re injusto que cuando las mujeres opinemos algo xq nos molesta ya se enojan y ya nos tratan mal solo fue un comentario y si te molesto xq será verdad,NEGATIVO,NEGATIVO,True
16,orinson amaya salió tirandole a la afición alguien dígale q la razón por la q la afición está impaciente es pq el corrio a royon y gorga un con condiciones al igual que el defensa a eso sumenle q corrió al dt la gente está molesta pq su gestión deportiva es una mierd fin,NEGATIVO,NEGATIVO,True
17,gracias por el stream de hoy solo sacamos victorias una con espero no equivocarme de herita por si es asi perdon jaja y otra victoria en que me enfrente con mi archienemigo el escudo blindado,NEUTRO,NEUTRO,True
18,las medallas esas deben estar embrujadas,NEUTRO,POSITIVO,False
19,el pacífico colombiano es magnífico,NEUTRO,NEUTRO,True
20,de donde carajos salió toda la plata que dice el resumen de mi nequi quedé anonadado,POSITIVO,POSITIVO,True
21,m quedo fokin boquiabierto viendo la pelicula porke conchetumare le tiro una silla a la cabeza,POSITIVO,POSITIVO,True
22,con profundo dolor y tristeza recibimos este día la noticia del fallecimiento en un accidente automovilístico de tres servidores de la nación que colaboraban con el apoyo a la reconstrucción de acapulco nuestra eterna gratitud y nuestro profundo reconocimiento para ellos hasta el cielo a sus familiares amigos y compañeros las más sentidas condolencias a nombre del pueblo acapulqueño toda su labor será siempre reconocida en esta ciudad que hoy eleva una oración en su nombre,NEUTRO,POSITIVO,False
23,soy un soñador y por nada me detengo,NEGATIVO,NEGATIVO,True
24,mis panas dándome el honor de inquebrantable después de tenerme secuestrada en una partida donde me fue horriblemente mal que me moría de básico y que por llamada les suplicaba para rendirnos bien bonitos,NEUTRO,NEUTRO,True
25,ah ojalá poder guardar el día de hoy en un lugar de mi cabeza que pueda verlo siempre y volver a sentirme igual de apacible y feliz,NEGATIVO,NEUTRO,False
26,el mensaje un mensaje de que debido al cambio positivo que has hecho en tu vida has atraído el flujo de abundancia positiva a tu vidatus acciones positivas y tu renovado sentido del yo han asegurado que las energías positivas la abundancia y la prosperidad llenen tu vida,POSITIVO,NEUTRO,False
27,q divertido el fútbol de mi pueblo puros cuentasos nomás,POSITIVO,POSITIVO,True
28,atake d chochoneria y feliz espontaneo,POSITIVO,NEUTRO,False
29,me he quedado totalmente aislado y no como suelo hacer con mis métodos erróneos de autodefensa,NEGATIVO,POSITIVO,False
30,que cojones hago viendo operación triunfo,POSITIVO,POSITIVO,True
31,no cabe duda que despues de un me pongo amoroso,NEUTRO,NEUTRO,True
32,ese anthony es osado oeeee quiere hacer su propia salchicha qué loco mccelebrityec,POSITIVO,NEGATIVO,False
33,ha resuelto ya el zendal de m de euros el problema de saturación de la sanidad pública y ayuso está repartiendo mascarillas de su hermano gratis para los madrileños viendo hospitales en gaza estamos aquí cómo para un bombardeo menuda vergüenza de saqueadores de lo público,POSITIVO,POSITIVO,True
34,una vacuna contra el doxing es ser un tanto desvergonzado pero que no se les pase la mano recuerden que solo es un nivel de desvergüenza suficiente para no sufrir un desbalance emocional severo ante la amenaza de cualquier pendejx que se cree la virtud en dos patas,POSITIVO,NEGATIVO,False
35,quería aún quiero culparte no solo por cómo me trataste también por la forma que me dejaste ir rápido y sin dudarlo no justifico tu actuar pero reconozco que muchos días yo solita me rompí el corazón queriendo ser esa persona para ti y que tú fueras para mí,NEUTRO,NEUTRO,True
36,pudiendo ser tantas cosas por qué no eliges ser compasivo,NEUTRO,POSITIVO,False
37,apoco si muy devoto,NEUTRO,NEGATIVO,False
38,colapsado y aburrido de la vida,NEGATIVO,NEGATIVO,True
39,chau más de una hora,NEGATIVO,NEUTRO,False
40,lo fatigado que tengo los brazos quizás esos mil litros vinieron con delay,NEGATIVO,NEGATIVO,True
41,hemos vuelto a ir al hospital porque el cólico de riñón no mejora después de días se han negado a hacerme una ecografía porque tenían el hospital saturado de covid y gripe a que si quería me hacían otra analítica sigo sin saber si aun tengo la piedra y es lo que me mata,NEGATIVO,POSITIVO,False
42,este año definitivamente arrancó con muchas sorpresas y una que otra decepción pero aún así lo recibo con agradecimiento porque poco a poco de todo se aprende,NEUTRO,NEUTRO,True
43,una vez fueron a mi casa unos guardias civiles a decirle a mi madre de ir de testigo a un juicio y lo primero que soltó mi madre tras eso fue mi hijo no ha hecho nada eh,NEUTRO,NEGATIVO,False
44,te amo negan,NEUTRO,NEUTRO,True
45,comprende akira es como un perro que necesita espacio para correr o se comienza a angustiar apuntado para próximos exámenes una ceja alza mirándole de soslayo mientras esperaba en la barra por su batido ya te has calmado no esperaba verle tomando té ni nada en,NEUTRO,NEUTRO,True
46,gracias por su apoyo gente gracias a ustedes ya somos k no lo abria logrado sin ustedes los quiero muchas gracias,POSITIVO,NEUTRO,False
47,sin la siguiente estrofa pobre soñador del tri sería la canción perfecta tú me haces sentir en un jugo de béisbol me ponchas y me haces batear de jonrón,NEGATIVO,POSITIVO,False
48,hasta que me muera encogió los hombros despreocupado a pesar de todo no había planteado el dejar de fumar nunca no si incluso se drogaba con pastillas qué más le da,NEUTRO,NEGATIVO,False
49,buenasnoticias termina huelga en el gracias al diálogo constructivo del y de las autoridades educativas hoy se firma en el centrofederallaboral el convenio del incremento salarial del en beneficio de casi mil académicos y administrativos,POSITIVO,NEUTRO,False
50,único ponto positivo,POSITIVO,POSITIVO,True
51,art las cortes generales mediante ley orgánica podrán por motivos de interés nacional c sustituir la iniciativa de las corporaciones locales a que se refiere el apartado del artículo,NEGATIVO,NEGATIVO,True
52,cual es su cancion favorita del triangulo amoroso de folklore ahre que no me va a responder nadie y que soy literal el meme de ariana grande hablandole a la pared,NEUTRO,NEGATIVO,False
53,las personas somos to complicas en verdad paz y amor,NEUTRO,POSITIVO,False
54,pensando que este es el último puente festivo toca esperar hasta marzo,POSITIVO,POSITIVO,True
55,choque múltiple autos en costanera en brillante semáforo dirección chgte conce,POSITIVO,POSITIVO,True
56,mi sueño frustrado es que me organicen un cumpleaños sorpresa,NEGATIVO,NEGATIVO,True
57,por si no me conocen tengo cara de bebé de bebedor compulsivo,NEGATIVO,NEGATIVO,True
58,yo solo quiero vivir dentro de heartstopper y que todo sea puro y tierno y me salgan corazoncitos cuando me siento feliz solo soy una chica,NEUTRO,NEUTRO,True
59,lrt esa es una de las razones por las cuales no soporto a los árabes particularmente musulmanes lloran por colonización pero se dan golpes en el pecho cuando hablan de la conquista árabe más o menos igual con ciertos grupos indígenas y movimientos indigenistas,POSITIVO,NEUTRO,False
60,todos juntos por un cambio positivo unidostodosx dezurdateam,POSITIVO,POSITIVO,True
61,vean el cielo y encuentren la estrella más brillante está wouu,POSITIVO,POSITIVO,True
62,q poco atractivo el ego y la autoconfianza pero q atractivo cuando alguien es mamón sabiendo q en el fondo es inseguro,POSITIVO,POSITIVO,True
63,viernes la luna entra en escorpio utiliza la energía transformadora de la luna de escorpio para abrazar la introspección purgar la negatividad sumergirte en el trabajo interior practicar la empatía las emociones pueden intensificarse se proactivo no reactivo,NEUTRO,NEUTRO,True
64,que la hermana de me haya aceptado en twitter me parece maravilloso,POSITIVO,POSITIVO,True
65,yo estoy aquí echado en mi cama en año y medio voy a ser un fuckin crack despreocupado,NEUTRO,POSITIVO,False
66,en plan de verdad ha sido navidad me he aislado tanto de todo para no sufrir que es como si no hubieran existido y la ansiedad me hubiera borrado la memoria y ayer era el puente de diciembre y estaba acabando las clases,NEGATIVO,NEGATIVO,True
67,estoy tremendamente asombrado de la cantidad de gente que desean que a le vaya mal aunque esto implique un enorme daño social por favor tengan empatía dejen de lado intereses personales por una vez en la vida acompañen un cambio sin mirar color político por favor,POSITIVO,NEGATIVO,False
68,especialmente titubeante pagni le salva las papas olivera con sutiles correcciones la está trabajando de duro aburrido,NEGATIVO,NEGATIVO,True
69,muy triste por la muerte de carlos bremer un empresario mexicano exitoso y que parte de la fórmula de su éxito empresarial estaba en la gente sus consejos serán eternos,POSITIVO,NEUTRO,False
