id,tweet_original,sentimiento_real,pred_ml_tradicional,correcto_ml
1,oswer díaz mireles de nuestros buenos fotógrafos era un apasionado y tuve la dicha de conocerlo y compartir con él la última vez que lo vi fue en una rueda de prensa de cúsica fest y nada muchas anécdotas lo recordaré como un gran profesional y amigo descansa chino,NEUTRO,POSITIVO,False
3,los valientes fueron antes cobardes si eres un pequeño cobarde puedes ser un gran valiente,POSITIVO,NEGATIVO,False
7,alchile si acabé bien confundido viendo el niño y la garza,NEGATIVO,POSITIVO,False
10,que deseo para un país próspero q le de oportunidades a mis hijos donde puedan vivir trabajar y soñar con una venezuela hermosa,POSITIVO,NEUTRO,False
13,problema resuelto así resuelvo todo últimamente,POSITIVO,NEUTRO,False
18,las medallas esas deben estar embrujadas,NEUTRO,POSITIVO,False
22,con profundo dolor y tristeza recibimos este día la noticia del fallecimiento en un accidente automovilístico de tres servidores de la nación que colaboraban con el apoyo a la reconstrucción de acapulco nuestra eterna gratitud y nuestro profundo reconocimiento para ellos hasta el cielo a sus familiares amigos y compañeros las más sentidas condolencias a nombre del pueblo acapulqueño toda su labor será siempre reconocida en esta ciudad que hoy eleva una oración en su nombre,NEUTRO,POSITIVO,False
25,ah ojalá poder guardar el día de hoy en un lugar de mi cabeza que pueda verlo siempre y volver a sentirme igual de apacible y feliz,NEGATIVO,NEUTRO,False
26,el mensaje un mensaje de que debido al cambio positivo que has hecho en tu vida has atraído el flujo de abundancia positiva a tu vidatus acciones positivas y tu renovado sentido del yo han asegurado que las energías positivas la abundancia y la prosperidad llenen tu vida,POSITIVO,NEUTRO,False
28,atake d chochoneria y feliz espontaneo,POSITIVO,NEUTRO,False
29,me he quedado totalmente aislado y no como suelo hacer con mis métodos erróneos de autodefensa,NEGATIVO,POSITIVO,False
32,ese anthony es osado oeeee quiere hacer su propia salchicha qué loco mccelebrityec,POSITIVO,NEGATIVO,False
34,una vacuna contra el doxing es ser un tanto desvergonzado pero que no se les pase la mano recuerden que solo es un nivel de desvergüenza suficiente para no sufrir un desbalance emocional severo ante la amenaza de cualquier pendejx que se cree la virtud en dos patas,POSITIVO,NEGATIVO,False
36,pudiendo ser tantas cosas por qué no eliges ser compasivo,NEUTRO,POSITIVO,False
37,apoco si muy devoto,NEUTRO,NEGATIVO,False
39,chau más de una hora,NEGATIVO,NEUTRO,False
41,hemos vuelto a ir al hospital porque el cólico de riñón no mejora después de días se han negado a hacerme una ecografía porque tenían el hospital saturado de covid y gripe a que si quería me hacían otra analítica sigo sin saber si aun tengo la piedra y es lo que me mata,NEGATIVO,POSITIVO,False
43,una vez fueron a mi casa unos guardias civiles a decirle a mi madre de ir de testigo a un juicio y lo primero que soltó mi madre tras eso fue mi hijo no ha hecho nada eh,NEUTRO,NEGATIVO,False
46,gracias por su apoyo gente gracias a ustedes ya somos k no lo abria logrado sin ustedes los quiero muchas gracias,POSITIVO,NEUTRO,False
47,sin la siguiente estrofa pobre soñador del tri sería la canción perfecta tú me haces sentir en un jugo de béisbol me ponchas y me haces batear de jonrón,NEGATIVO,POSITIVO,False
48,hasta que me muera encogió los hombros despreocupado a pesar de todo no había planteado el dejar de fumar nunca no si incluso se drogaba con pastillas qué más le da,NEUTRO,NEGATIVO,False
49,buenasnoticias termina huelga en el gracias al diálogo constructivo del y de las autoridades educativas hoy se firma en el centrofederallaboral el convenio del incremento salarial del en beneficio de casi mil académicos y administrativos,POSITIVO,NEUTRO,False
52,cual es su cancion favorita del triangulo amoroso de folklore ahre que no me va a responder nadie y que soy literal el meme de ariana grande hablandole a la pared,NEUTRO,NEGATIVO,False
53,las personas somos to complicas en verdad paz y amor,NEUTRO,POSITIVO,False
59,lrt esa es una de las razones por las cuales no soporto a los árabes particularmente musulmanes lloran por colonización pero se dan golpes en el pecho cuando hablan de la conquista árabe más o menos igual con ciertos grupos indígenas y movimientos indigenistas,POSITIVO,NEUTRO,False
65,yo estoy aquí echado en mi cama en año y medio voy a ser un fuckin crack despreocupado,NEUTRO,POSITIVO,False
67,estoy tremendamente asombrado de la cantidad de gente que desean que a le vaya mal aunque esto implique un enorme daño social por favor tengan empatía dejen de lado intereses personales por una vez en la vida acompañen un cambio sin mirar color político por favor,POSITIVO,NEGATIVO,False
69,muy triste por la muerte de carlos bremer un empresario mexicano exitoso y que parte de la fórmula de su éxito empresarial estaba en la gente sus consejos serán eternos,POSITIVO,NEUTRO,False
79,hay días en que se siente la necesidad de sentarte en un sofá placido de esos que por el pasar del tiempo nos invitar a quedarnos y hablar sabroso saben esas conversaciones sobre arte sobre cine esas pláticas sobre el hedonismo de coincidir en gustos o poder aprender,NEUTRO,NEGATIVO,False
80,me retiro un tiempo del fútbol o me apasiono más cabrón de lo que me he apasionado en mi vida no va a haber punto medio esta temporada,NEUTRO,NEGATIVO,False
85,qjsjs seguro la otra no le dice que es hermoso como yo le decia pero a el le gano el orgullo y buee,NEUTRO,POSITIVO,False
86,mi hermana una vez me juró que a las niñas les gusta más el más risueño y no el más guapetón,POSITIVO,NEGATIVO,False
92,una mujer observa su cuerpo intranquila como si fuera un aliado poco fiable en la lucha por el amor unidostodosx dezurdateam,NEUTRO,POSITIVO,False
93,las personas que tienen lo material resuelto tienen que empezar a cerrar el orto,NEUTRO,POSITIVO,False
96,quien fue el envidioso ke me tiro mal de ojo para que me salieran mil granos,NEGATIVO,POSITIVO,False
103,hoy en autobi bajando san cristóbal me robaron q porque fui a pagar la colegiatura de mi hija y el receptor me dice que faltan mil pago más de k de colegiatura los cuales la secretaria y yo contamos el dinero por separado aún así desconfiado los volví a contar sigue,NEGATIVO,NEUTRO,False
105,desconcertado de la realidad que vivo y mi subconsciente,NEGATIVO,POSITIVO,False
111,de manera apacible se puede sacudir el mundo mg,NEUTRO,NEGATIVO,False
113,que pasa cheeeee como andan yo aquí sin poder rankear por que no arreglan los puts servers de r de mrd,POSITIVO,NEUTRO,False
117,por cierto tener que envolver un banco de musculación es una pésima experiencia me quedé sin papel y tuve que mezclar dos,NEGATIVO,NEUTRO,False
123,ahorita hay desaparecidas jovenes mante tamaulipas y una en madero les recomiendo poner la denuncia antes las autoridades correspondiente para que queden antecedentes probablemente un policia se ofrezca a negociar la liberacion es el modus operandi de policia y delincuente,NEUTRO,POSITIVO,False
125,hoy he extrañado a mi hermana más que nunca,POSITIVO,NEGATIVO,False
128,marico que arrechera cuando uno hace el trabajo de uno bien y en el momento que se lo piden pero cuando espero algo de la otra persona no le veo interés ni siento que se mueva para resolver rápido lo que le toca hacer,NEUTRO,NEGATIVO,False
130,los valientes fueron antes cobardes si eres un pequeño cobarde puedes ser un gran valiente,POSITIVO,NEGATIVO,False
132,este lunes ya empiezo con mi glow up asegurado,NEUTRO,POSITIVO,False
134,por esta vida de mierda gracias gracias gracias,NEGATIVO,NEUTRO,False
135,me agradan las personas donde el silencio no es incómodo,NEGATIVO,POSITIVO,False
138,bueno reyes ha caído en sábado día no laborable de todos modos así que ni hace puente festivo ni nada de nada no me consta que ninguna comunidad autónoma lo haya dejado para el lunes que hubiera sido una tontería,POSITIVO,NEUTRO,False
139,creo que sin ser optimista no se puede ser revolucionario porque las dificultades que una revolución tiene que vencer son muy serias y hay que ser optimistas un pesimista nunca podría ser revolucionariofidelporsiempre latirxunavileño,POSITIVO,NEGATIVO,False
140,argentina está tan a fondo en el choreo y currerío que es muy difícil de curar a pleno aunque parezca que hay una oportunidad si no querés perder tu vida esperanzado por años la salida es y siempre será ezeiza,POSITIVO,NEGATIVO,False
145,gelp todas buenas noticias cowen se fue tarragona se fue guiffrey que pelotudo fuiste saravia no quiere estar más benja ni noticias sos un crackkkkkk,NEGATIVO,NEUTRO,False
150,déjame que te pueda cantar lo que nunca debí de callarme contigo soy tu cara y tu cruz soy tu guerra y tu paz soy todos los que aquí me escucháis soyy,NEUTRO,NEGATIVO,False
151,todos dormidos y suena la alarma de la casa mi hermano pregunta que quien abrió alguna ventana o puerta y evidentemente nadie fue acto seguido el dispositivo dice en altavoz por allá lejos que han desconectado la corriente y sólo pensé valí verga todo esto a las am,NEGATIVO,NEUTRO,False
152,soy competente consciente de que estoy dando verguenza en la privada,POSITIVO,NEGATIVO,False
154,si me duermo a las me levanto a las fresco como una lechuga ah pero si me duermo a la me levanto a las todo amodorrado y cuasi crudo como si me hubiera ido de peda,NEGATIVO,NEUTRO,False
157,hasta que me muera encogió los hombros despreocupado a pesar de todo no había planteado el dejar de fumar nunca no si incluso se drogaba con pastillas qué más le da,POSITIVO,NEGATIVO,False
158,es paete del trato dixe el sistrma penal de jsitiica caoigal del pais y aki ests mi travesura dice el guero,POSITIVO,NEUTRO,False
159,entiendo el que nos dejaremos de ver pero no entiendo por qué te vuelves tan distante de la noche a la mañana sin hablar antes,NEGATIVO,POSITIVO,False
160,que rápido volviste a buscar su consuelo,NEUTRO,NEGATIVO,False
163,esperando por la pvt cerd de eudald apreciativo,NEUTRO,NEGATIVO,False
166,odio no poder dejarte de ver con estos ojos que solo ven ternura en vos después de todo,NEUTRO,NEGATIVO,False
171,mañana terminare el zeldano al la verdadel juego me encantóhace mucho que no disfrutaba de un juego en solitariome gustaría tenerlo al pero nopronto empiezan mis clases además que son muchas cosas que no pienso hacerahora me siento vacíopensando y escuchando toda,NEGATIVO,POSITIVO,False
173,ya la otra semana termino un show mas y hora de aventura mis últimas palabras con respecto a estas series es que me acompañaron a finales del las aprecio más que la primera vez y pese a sus defectos fueron lo mejor que ha sacado cartoon network,NEUTRO,NEGATIVO,False
174,agradecido siempre por quien está y por quien no,NEUTRO,NEGATIVO,False
175,merida tierra de anarquía los moteros de nuevo haciendo de las suyas en el municipio libertador otro año más el merideño es marginado y pisados sus derechos por estos turistas que vienen a molestar corriendo por las avenidas sin control y sin supervisión,NEGATIVO,NEUTRO,False
176,que rabia que sea tan hermoso seguro todas le responden la historia,NEUTRO,POSITIVO,False
181,pienso que después de haber tenido episodios depresivos muy fuertes en mi vida con el tiempo uno le otorga a la tristeza cierto sentido apreciativo aprender uno a vivir con ella y encontrarla bonita y a veces necesaria,NEUTRO,NEGATIVO,False
186,solo te pido una señal un incentivo para poder seguir adelante en este camino que recorrí durante todo este tiempo camino desorientador irregular pero esclarecedor dame las fuerzas y la seguridad en mi para seguir aquí,NEGATIVO,POSITIVO,False
191,todo el mundo preocupado por baltasar y el blackface y yo pensando que no me toque el haba de roscón dejarnos disfrutar de los reyes magos tranquilos turras,POSITIVO,NEGATIVO,False
193,es un golazo pero la falta de contundencia contundensia es desesperante el equipo se ha caído desde el empate y los cambios dignos de un demente han desconcertado aún más al equipo,POSITIVO,NEGATIVO,False
199,tengo la extraña sensación de que estas dos semanas que he estado trabajando tantísimo con mi vida en stand by me ha distanciado de mi gente porque está todo el mundo como desaparecido,NEGATIVO,NEUTRO,False
201,estamos todos na torcida para o bin laden,POSITIVO,NEUTRO,False
205,desde la semana que esperaba sentir movimientos de mi bebé y nada recién en la semana empecé a sentir hoy pisando las semanas pido que se calme un poquito es super inquieto pero en ciertos horarios,NEGATIVO,NEUTRO,False
207,asquerosamente pauteada la nota sobre milito en datasportsxtntsports hasta metieron a pellegrini y guardiola lo muestran como un técnico apetecido por varios equipos y un triunfador cuando se sabe que no le ha ganado a nadie periodistas come pan,POSITIVO,NEGATIVO,False
208,decir no es una habilidad valiosa que debemos aprender a veces decir no nos permite enfocarnos en lo que realmente importa autocuidado estabilidademocional,POSITIVO,NEGATIVO,False
219,eh wey las direccionales no gastan gasolina,POSITIVO,NEGATIVO,False
221,wjiwjw hoy cuando fui a la librería para comprarme el libro le dije a lla señora que quería la novela gráfica de los ojos de plata xq estaba medio nervioso y pensé que no me iba a entender pero si lo agarro bien rápido y era muy tierna la quiero señora,NEUTRO,NEGATIVO,False
222,cuál es la diferencia entre la soledad y el destino me llamaste isla y quisiste habitarme hacer crecer mi piel sobre tu tierra deshacer mi invierno protegido y alumbrar el abandono elegido de la arena pudiste quedarte posar tu futuro sobre mis ruinas,NEUTRO,POSITIVO,False
223,todo fue tan espontáneo tan natural que a ninguno de los dos nos pareció nada raro que de pronto mi mano estuviera en su mano y que nos miráramos como dos tontos benedetti,POSITIVO,NEUTRO,False
